T0000698	268526	CENTRALLY PLANNED ECONOMIES
T0004656	268527	DIALECTICAL MATERIALISM
T0000119	268528	SMALL STATES
T0010006	268529	USSR
T0000610	268530	ARCHIPELAGIC STATES
T0000611	268531	COASTAL STATES
T0000294	268533	NON-NUCLEAR-WEAPON STATES
T0000302	268534	NUCLEAR WEAPON STATES
T0004650	268535	CHURCH AND STATE
T0000550	268536	EQUALITY OF STATES
T0005744	268537	NEIGHBOURING STATES
T0000585	268538	STATE SUCCESSION
T0000149	268539	DIPLOMATS
T0000125	268540	STUDENT MOVEMENTS
T0004318	268541	YOUTH MOVEMENTS
T0003668	268542	STUDENT ORGANIZATIONS
T0006844	268543	TRADE UNION ACTIVISTS
T0003896	268544	TRADE UNION RIGHTS
T0003898	268545	WORKERS' EDUCATION
T0003893	268546	INTERNATIONAL LABOUR ACTIVITIES
T0000131	268548	UNDERGROUND MOVEMENTS
T0009543	268550	NUCLEAR TERRORISM
T0000564	268551	INTERNATIONAL CRIMES
T0000169	268552	MILITARY OCCUPATION
T0000133	268553	VETO
T0000429	268554	DOMICILE AND RESIDENCE
T0002913	268555	JEWS
T0005505	268556	ISRAEL
T0000137	268557	AFRO-ASIAN POLITICS
T0000166	268558	INTERNATIONAL RELATIONS
T0010083	268559	SOUTH-SOUTH RELATIONS
T0005325	268560	AFRICA
T0005446	268561	ASIA
T0000138	268562	ALLIANCES
T0000171	268563	NON-ALIGNMENT
T0000139	268564	AMBASSADORS
T0007823	268565	EMBASSIES
T0000140	268566	BALANCE OF POWER
T0000227	268568	ARMS RACE
T0000185	268569	SPHERES OF INFLUENCE
T0000141	268570	CONSULAR RELATIONS
T0005642	268571	FOREIGN RELATIONS
T0000540	268572	CONSULAR LAW
T0000145	268573	DIPLOMATIC AND CONSULAR SERVICE
T0000148	268574	DIPLOMATIC RELATIONS
T0000142	268575	COORDINATION WITHIN UN SYSTEM
T0000715	268576	AID COORDINATION
T0006011	268577	CROSS-ORGANIZATIONAL PROGRAMME ANALYSES
T0006758	268578	INTER-AGENCY COOPERATION
T0007895	268579	INTER-AGENCY GROUPS
T0006050	268580	RESIDENT COORDINATORS
T0000184	268581	SPECIALIZED AGENCIES
T0000143	268582	DETENTE
T0000249	268584	DISARMAMENT
T0006306	268585	EAST-WEST RELATIONS
T0000152	268586	EUROPEAN SECURITY AND COOPERATION
T0000199	268587	INTERNATIONAL SECURITY
T0000181	268588	PEACEFUL COEXISTENCE
T0009998	268589	REGIONAL SECURITY
T0000144	268590	DIPLOMACY
T0010104	268591	PREVENTIVE DIPLOMACY
T0000147	268592	DIPLOMATIC ETIQUETTE
T0000201	268593	NEGOTIATION
T0006117	268594	CONFIDENCE-BUILDING MEASURES
T0000771	268595	CIVIL SERVICE
T0000146	268596	DIPLOMATIC COMMUNITY
